id;start_date;end_date;language
1;2024-09-20T05:38:19;2024-09-20T01:24:44;SPANISH
2;2024-09-19T11:52:29;2024-09-19T20:52:25;ENGLISH
3;2024-09-19T19:10:35;2024-09-19T11:26:30;FRENCH
4;2024-09-19T10:27:58;2024-09-19T18:27:27;SPANISH
5;2024-09-20T06:19:55;2024-09-20T05:52:01;FRENCH
6;2024-09-20T02:35:20;2024-09-20T09:08:41;SPANISH
7;2024-09-19T22:05:22;2024-09-19T10:26:30;FRENCH
8;2024-09-19T16:34:22;2024-09-19T22:32:06;SPANISH
9;2024-09-20T08:26:15;2024-09-20T08:14:01;SPANISH
10;2024-09-19T15:07:43;2024-09-20T09:10:06;FRENCH
